class_name,class_label
I,0
DOWN,1
DOWN_LEFT,2
EIGHT,3
F,4
FIVE,5
FOUR,6
LEFT,7
NEG_ONE,8
NEG_TWO,9
NEG_UNITY,10
NINE,11
ONE,12
ORIGIN,13
RIGHT,14
SEVEN,15
SIX,16
T,17
TEN,18
THREE,19
THREE_BY_THREE,20
TWO,21
TWO_BY_TWO,22
TWO_BY_ZERO,23
UNITY,24
UP,25
UP_RIGHT,26
ZERO,27
ZERO_BY_TWO,28
add,29
adjacent,30
apply,31
argmax,32
argmin,33
asindices,34
asobject,35
astuple,36
backdrop,37
bordering,38
both,39
bottomhalf,40
box,41
branch,42
canvas,43
cellwise,44
center,45
centerofmass,46
chain,47
cmirror,48
color,49
colorcount,50
colorfilter,51
combine,52
compose,53
compress,54
connect,55
contained,56
corners,57
cover,58
crement,59
crop,60
decrement,61
dedupe,62
delta,63
difference,64
divide,65
dmirror,66
dneighbors,67
double,68
downscale,69
either,70
equality,71
even,72
extract,73
fgpartition,74
fill,75
first,76
flip,77
fork,78
frontiers,79
gravitate,80
greater,81
halve,82
hconcat,83
height,84
hfrontier,85
hline,86
hmatching,87
hmirror,88
hperiod,89
hsplit,90
hupscale,91
identity,92
inbox,93
increment,94
index,95
ineighbors,96
initset,97
insert,98
intersection,99
interval,100
invert,101
last,102
lbind,103
leastcolor,104
leastcommon,105
lefthalf,106
leftmost,107
llcorner,108
lowermost,109
lrcorner,110
manhattan,111
mapply,112
matcher,113
maximum,114
merge,115
mfilter,116
minimum,117
mostcolor,118
mostcommon,119
move,120
mpapply,121
multiply,122
neighbors,123
normalize,124
numcolors,125
objects,126
occurrences,127
ofcolor,128
order,129
other,130
outbox,131
paint,132
pair,133
palette,134
papply,135
partition,136
portrait,137
position,138
positive,139
power,140
prapply,141
product,142
rapply,143
rbind,144
recolor,145
remove,146
repeat,147
replace,148
righthalf,149
rightmost,150
rot180,151
rot270,152
rot90,153
sfilter,154
shape,155
shift,156
shoot,157
sign,158
size,159
sizefilter,160
square,161
subgrid,162
subtract,163
switch,164
toindices,165
toivec,166
tojvec,167
toobject,168
tophalf,169
totuple,170
trim,171
ulcorner,172
underfill,173
underpaint,174
uppermost,175
upscale,176
urcorner,177
valmax,178
valmin,179
vconcat,180
vfrontier,181
vline,182
vmatching,183
vmirror,184
vperiod,185
vsplit,186
vupscale,187
width,188
